SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,Month,Season,IsWinter,IsSummer,IsIceCream,Price_Change,Days_Since_Last_Price_Update,Price_Retail_Log,Price_Current_Log,Product_Length,IsHighPrice,Predicted_Price,Adjusted_Price
90001,Deli,Prepared Meals,,Deli/Prepared Meals,295643627,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,5.0396714153011235,12,Regular,2022-06-05,6,Summer,0,1,0,0.0,0.0,1.7900914121273581,1.7900914121273581,33,1,4.9978058174864675,4.9978058174864675
30301,Beverages,Juice,,Beverages/Juice,523940495,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.976173569882882,64,Regular,2022-08-19,8,Summer,0,1,0,0.0,0.0,1.6074359097634274,1.6074359097634274,29,0,3.9752698886926394,3.9752698886926394
79936,Deli,Prepared Meals,,Deli/Prepared Meals,393336429,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,5.054768853810069,12,Regular,2022-05-19,5,Spring,0,0,0,0.0,0.0,1.7900914121273581,1.7900914121273581,33,1,4.9978058174864675,4.9978058174864675
79936,Bakery,Cakes,,Bakery/Cakes,122445657,https://www.walmart.com/ip/Vanilla-Cake,"Duncan Hines Vanilla Cake, 15 Oz",Duncan Hines,5.99,6.142302985640803,15,Regular,2022-01-16,1,Winter,1,0,0,0.0,0.0,1.944480556245719,1.944480556245719,32,1,5.999656172492293,5.999656172492293
30301,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,763717366,https://www.walmart.com/ip/Vanilla-Ice-Cream,"Haagen-Dazs Vanilla Ice Cream, 14 Oz",Haagen-Dazs,4.99,4.966584662527667,14,Regular,2022-03-29,3,Spring,0,0,1,0.0,0.0,1.7900914121273581,1.7900914121273581,36,1,4.9978058174864675,4.9978058174864675
90001,Bakery,Pastries,,Bakery/Pastries,827474832,https://www.walmart.com/ip/Danish-Pastry,"Entenmann's Danish Pastry, 12 Oz",Entenmann's,4.99,4.966586304305082,12,Regular,2022-10-22,10,Fall,0,0,0,0.0,0.0,1.7900914121273581,1.7900914121273581,32,1,4.9978058174864675,4.9978058174864675
79936,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,753700573,https://www.walmart.com/ip/Mixed-Vegetables,"Birds Eye Mixed Vegetables, 16 Oz",Birds Eye,2.49,2.6479212815507394,16,Regular,2022-09-04,9,Fall,0,0,0,0.0,0.0,1.2499017362143359,1.2499017362143359,33,0,2.485406123329126,2.485406123329126
90001,Beverages,Soda,,Beverages/Soda,739440901,https://www.walmart.com/ip/Cola,"Coca-Cola Cola, 2 L",Coca-Cola,1.99,2.0667434729152907,2,Regular,2022-03-02,3,Spring,0,0,0,0.0,0.0,1.095273387402595,1.095273387402595,19,0,1.9838767648863906,1.9838767648863906
10001,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,784134892,https://www.walmart.com/ip/Frozen-Burritos,"El Monterey Frozen Burritos, 10 Pack",El Monterey,7.49,7.443052561406505,10,Regular,2022-05-12,5,Spring,0,0,0,0.0,0.0,2.138889000323256,2.138889000323256,36,1,7.3254025293094545,7.3254025293094545
79936,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,248911849,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,7.044256004358597,30,Regular,2022-09-03,9,Fall,0,0,0,0.0,0.0,2.0781907597781832,2.0781907597781832,28,1,6.982086019661964,6.982086019661964
30301,Deli,Cheese,,Deli/Cheese,730219931,https://www.walmart.com/ip/Mozzarella-Cheese,"Sargento Mozzarella Cheese, 8 Oz",Sargento,3.49,3.443658230718754,8,Regular,2022-03-20,3,Spring,0,0,0,0.0,0.0,1.501852701754163,1.501852701754163,32,0,3.5000735392161566,3.5000735392161566
60601,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,274667029,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.943427024642975,48,Regular,2022-10-31,10,Fall,0,0,1,0.0,0.0,2.0781907597781832,2.0781907597781832,34,1,6.982086019661964,6.982086019661964
